#separator:Tab
#notetype:@En
#deck:En
#columns:En	Cn	Title
I eat breakfast.	我吃早餐。	一般现在时 - 肯定句 (非第三人称单数)
You play the piano.	你弹钢琴。	一般现在时 - 肯定句 (非第三人称单数)
We go to school.	我们去上学。	一般现在时 - 肯定句 (非第三人称单数)
They live in the city.	他们住在城市里。	一般现在时 - 肯定句 (非第三人称单数)
I like coffee.	我喜欢咖啡。	一般现在时 - 肯定句 (非第三人称单数)
You speak English well.	你英语说得很好。	一般现在时 - 肯定句 (非第三人称单数)
We watch movies on weekends.	我们周末看电影。	一般现在时 - 肯定句 (非第三人称单数)
They work very hard.	他们工作非常努力。	一般现在时 - 肯定句 (非第三人称单数)
I read books every night.	我每晚读书。	一般现在时 - 肯定句 (非第三人称单数)
You understand the question.	你理解这个问题。	一般现在时 - 肯定句 (非第三人称单数)
